"Date","Price","Open","High","Low","Change %"
"Dec 04, 2011","1.5660","1.5632","1.5771","1.5560","0.42%"
"Nov 27, 2011","1.5594","1.5479","1.5780","1.5457","0.95%"
"Nov 20, 2011","1.5448","1.5791","1.5797","1.5423","-2.17%"
"Nov 13, 2011","1.5791","1.6084","1.6092","1.5690","-1.74%"
"Nov 06, 2011","1.6070","1.6071","1.6131","1.5868","0.24%"
"Oct 30, 2011","1.6031","1.6126","1.6168","1.5877","-0.56%"
"Oct 23, 2011","1.6121","1.5946","1.6153","1.5891","1.05%"
"Oct 16, 2011","1.5953","1.5821","1.5976","1.5631","0.83%"
"Oct 09, 2011","1.5821","1.5560","1.5854","1.5528","1.68%"
"Oct 02, 2011","1.5560","1.5574","1.5646","1.5272","-0.16%"
"Sep 25, 2011","1.5585","1.5471","1.5717","1.5433","0.76%"
"Sep 18, 2011","1.5467","1.5728","1.5755","1.5326","-2.04%"
"Sep 11, 2011","1.5789","1.5833","1.5888","1.5707","-0.59%"
"Sep 04, 2011","1.5882","1.6157","1.6189","1.5844","-2.07%"
"Aug 28, 2011","1.6218","1.6327","1.6457","1.6132","-0.94%"
"Aug 21, 2011","1.6372","1.6477","1.6572","1.6208","-0.55%"
"Aug 14, 2011","1.6462","1.6288","1.6621","1.6258","1.13%"
"Aug 07, 2011","1.6278","1.6469","1.6473","1.6111","-0.70%"
"Jul 31, 2011","1.6392","1.6395","1.6477","1.6224","-0.18%"
"Jul 24, 2011","1.6421","1.6332","1.6473","1.6261","0.72%"
"Jul 17, 2011","1.6303","1.6117","1.6341","1.6006","1.03%"
"Jul 10, 2011","1.6136","1.6033","1.6193","1.5783","0.48%"
"Jul 03, 2011","1.6059","1.6065","1.6143","1.5933","-0.11%"
"Jun 26, 2011","1.6077","1.5964","1.6119","1.5913","0.73%"
"Jun 19, 2011","1.5960","1.6166","1.6263","1.5939","-1.46%"
"Jun 12, 2011","1.6197","1.6237","1.6443","1.6079","-0.23%"
"Jun 05, 2011","1.6235","1.6427","1.6473","1.6220","-1.18%"
"May 29, 2011","1.6429","1.6482","1.6549","1.6286","-0.48%"
"May 22, 2011","1.6509","1.6225","1.6515","1.6061","1.73%"
"May 15, 2011","1.6229","1.6178","1.6305","1.6107","0.19%"
"May 08, 2011","1.6198","1.6378","1.6519","1.6148","-1.05%"
"May 01, 2011","1.6370","1.6711","1.6740","1.6355","-2.00%"
"Apr 24, 2011","1.6704","1.6523","1.6748","1.6432","1.18%"
"Apr 17, 2011","1.6510","1.6316","1.6601","1.6167","1.15%"
"Apr 10, 2011","1.6322","1.6380","1.6429","1.6228","-0.38%"
"Apr 03, 2011","1.6385","1.6109","1.6429","1.6092","1.69%"
"Mar 27, 2011","1.6113","1.6008","1.6153","1.5936","0.47%"
"Mar 20, 2011","1.6038","1.6225","1.6403","1.6008","-1.23%"
"Mar 13, 2011","1.6238","1.6085","1.6257","1.5983","0.98%"
"Mar 06, 2011","1.6081","1.6273","1.6344","1.5977","-1.19%"
"Feb 27, 2011","1.6275","1.6113","1.6345","1.6072","0.97%"
"Feb 20, 2011","1.6119","1.6261","1.6273","1.6032","-0.77%"
"Feb 13, 2011","1.6244","1.5987","1.6263","1.5981","1.49%"
"Feb 06, 2011","1.6006","1.6098","1.6187","1.5964","-0.59%"
"Jan 30, 2011","1.6101","1.5859","1.6279","1.5823","1.50%"
"Jan 23, 2011","1.5863","1.5997","1.6019","1.5753","-0.87%"
"Jan 16, 2011","1.6002","1.5867","1.6061","1.5835","0.88%"
"Jan 09, 2011","1.5863","1.5524","1.5890","1.5476","1.96%"
"Jan 02, 2011","1.5558","1.5570","1.5648","1.5410","-0.28%"
"Dec 26, 2010","1.5602","1.5444","1.5667","1.5347","1.02%"
"Dec 19, 2010","1.5444","1.5505","1.5579","1.5356","-0.59%"
"Dec 12, 2010","1.5535","1.5807","1.5912","1.5454","-1.78%"
"Dec 05, 2010","1.5817","1.5767","1.5863","1.5655","0.24%"
"Nov 28, 2010","1.5779","1.5593","1.5787","1.5484","1.19%"
"Nov 21, 2010","1.5594","1.5981","1.6087","1.5578","-2.45%"
"Nov 14, 2010","1.5986","1.6151","1.6155","1.5840","-0.93%"
"Nov 07, 2010","1.6136","1.6197","1.6214","1.5953","-0.27%"
"Oct 31, 2010","1.6179","1.6046","1.6301","1.5963","0.87%"
"Oct 24, 2010","1.6040","1.5670","1.6048","1.5667","2.26%"
